,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
4762,"What Happened, Brittany Murphy?",Documentary,2,2.97,5.864,22,"An in-depth, intimate character portrait exploring the life and career and mysterious circumstances surrounding the tragic death of 90’s actress and rising star, Brittany Murphy. The series goes beyond the conspiracy theories and headlines, featuring new interviews by those closest to Brittany and new archival footage.",,/wvjooU9XSedeinHoQKJe9a7MkpS.jpg
4763,TheDadLab,,1,0.6,8.0,5,Join Sergei Urban in discovering fun and easy science experiments and creative art projects that any parent can do with their kids at home. No special supplies or knowledge is required! Perfect for busy moms and dads looking to get children interested in science while spending quality time together and creating memories.,,/pVAECvgFiqzMRHqDtOz1OIjARfA.jpg
4764,Dexter: New Blood,"Drama, Crime",10,39.79,8.164,859,"10 years after Dexter went missing in the eye of Hurricane Laura, we find him living under an assumed name in the small town of Iron Lake, New York.  Dexter may be embracing his new life, but in the wake of unexpected events in this close-knit community, his Dark Passenger beckons.",['Clyde Phillips'],/9EBKgrFIsCFSV1RZKWhYUdbtGiv.jpg
4765,Candle in the Tomb: The Worm Valley,"Action & Adventure, Drama",16,6.543,8.0,8,"Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" (鬼吹灯) by Zhang Mu Ye (天下霸唱).",['Fei Zhenxiang'],/qND9IxQlaDmLfkZF7MnHyvAKcrD.jpg
4766,"Vendetta: Truth, Lies and The Mafia",Documentary,6,3.076,6.3,9,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",['Ruggero Di Maggio'],/91A5GVW13g4SctllYK5SCBP3ajP.jpg
4767,Nuclear Family,Documentary,3,1.934,7.333,6,"Ry Russo-Young turns the camera on her own past to explore the meaning of family. In the late 70s/early 80s, when the concept of a gay family was inconceivable to most, Ry and her sister Cade were born to two lesbian mothers through sperm donors. Ry’s idyllic childhood was threatened by an unexpected lawsuit which sent shockwaves through her family’s lives and continues to reverberate today.",,/8AY7Yea6iKPEcPKBAM1YzOCij0Z.jpg
4768,Monster in the Shadows,"Documentary, Crime",3,1.399,7.2,5,An investigation of the 2012 disappearance of Alabama teenager Brittney Wood reveals a truth more shocking than anyone could ever imagine.,['Thomas Leader'],/FlCcQWV47krN0mY6Q5s1qGaCz2.jpg
4769,Monsters Inside: The 24 Faces of Billy Milligan,"Documentary, Crime",4,12.216,7.1,56,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","['Olivier Megaton', 'Brice Lambert']",/w4BvMx1wNVYFLeXHuGm66OENZEh.jpg
4770,Angels of Death,"Animation, Sci-Fi & Fantasy",11,17.878,7.9,7,The story follows a band of Blood Angels Space Marines as they face a dangerous and insidious foe.,"['Richard Boylan', 'Boman Modine']",/7QxkJNK2CWDELPpC0zZssQ9iOI0.jpg
4771,Maya and the Three,"Animation, Family, Action & Adventure, Comedy",9,21.971,7.898,265,A spirited princess with the heart of a warrior embarks on a mission to fulfill an ancient prophecy and save humanity from the wrath of vengeful gods.,['Jorge R. Gutierrez'],/zUBixNeHU0cbSUH7JMktl9OMEMV.jpg
4772,"Boo, Bitch","Comedy, Sci-Fi & Fantasy",8,24.596,7.352,91,"Two senior BFFs make a last-ditch attempt to be seen. But when one of them becomes a ghost, she'll need to really live her best life — while she can.","['Lauren Iungerich', 'Erin Ehrlich', 'Tim Schauer', 'Kuba Soltysiak']",/b3zagQAHUUePg29xjp9SYoxtsv7.jpg
4773,The Cleaner,Comedy,12,9.411,7.2,27,"After CSI have done their stuff, the cleaner mops up the grisly remains. For Wicky, a bloodbath and the pub is all in a day's work.",,/4rnUvVdZIE1wA8UQVG9HgdT8OJX.jpg
4774,All or Nothing: Arsenal,Documentary,8,5.303,8.0,20,"Follow the iconic football club during an unforgettable season. As fans return to stadiums, the 2021-22 football season puts pressure on Arsenal's manager Mikel Arteta and his young team to get back to their former glories and back into Europe. Offering unprecedented access and capturing the highs and lows of life on and off the pitch, this is football at its finest: raw, dramatic and full of passion.",,/4LztV8nZYJy30BVVpI1IwMhX8Dd.jpg
4775,Strays,Comedy,20,3.609,6.6,5,"Shannon Ross puts Toronto in the rearview to focus on her new job as the executive director of the Hamilton East Animal Shelter, where she is boss to an eclectic staff.",['Kevin White'],/fEmmsdTwI2qxrABRkBHITTC6J6j.jpg
4776,The Croods: Family Tree,"Animation, Family, Action & Adventure",39,26.638,7.223,648,"Two very different families join forces to create a new community, an us-against-the-world, cave person co-op on the most amazing farm in the history of prehistory!",,/c0x8dGn1eurgf2TxvLHsPBrJKks.jpg
4777,Below Deck Adventure,Reality,13,1.098,7.2,5,Wealthy thrill seekers get into all sorts of adrenaline-pumping activities on their luxury yacht vacation.,,/6f92xJ4T8yvbwnoM9LgO898X54F.jpg
4778,Octonauts: Above & Beyond,"Animation, Kids, Family",50,11.075,8.4,10,"The Octonauts expand their exploration beyond the sea -- and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",,/rqKyiPfa2dbuo9Wowkd3cVNbBYo.jpg
4779,Scaredy Cats,"Family, Sci-Fi & Fantasy, Comedy",9,11.354,6.9,68,"On Willa Ward’s twelfth birthday, she inherits a beautiful charm necklace that belonged to her mother, who was a witch.  She soon learns 2 bad witches, Wilma and Wanda are after her locket so they can have ultimate power, and she alongside her best friends Scout and Lily turn into cats to escape.",['Anna McRoberts'],/vhgh0RZgN3h54Xlpvuz6Atruq7W.jpg
4780,Get Rolling with Otis,"Animation, Kids",35,7.301,6.5,43,"Welcome to Long Hill Dairy Farm, home to Otis the tractor and all his friends. Otis may be little, but he has a big heart. Whenever he sees a friend in need, he hits the brakes to see what’s wrong and rolls into action to help.",,/m5irEebuRQgSmZCAiq8a364vofn.jpg
4781,All the Queen's Men,Drama,30,3.725,9.462,26,"Marilyn ""Madam"" DeVille is at the top of her game in the Atlanta nightclub industry, and she won't let anyone or anything stand her in way as she rules a crew of male exotic dancers.",['Christian Keyes'],/eXswCm8rvJUQbU89ihb0CQVJGpS.jpg
4782,Curse of the Chippendales,Documentary,4,2.269,5.6,5,"The male dancers of Chippendales captured the hearts and dollars of the 80s. But whatever goes up, must come down.",,/yI6PXCNqdt7sr9CdBwZP3Cw4IdK.jpg
4783,Bad Sport,"Crime, Documentary",6,4.448,7.1,12,True crime and sports come together in this docuseries. Global controversies and scandals are explored through reports from those involved.,,/lst1t3sln5F7p2MsYwFevVNDOJV.jpg
4784,House of Secrets: The Burari Deaths,"Documentary, Crime",3,11.025,6.966,28,"Suicide, murder... or something else? This docuseries examines chilling truths and theories around the deaths of 11 members of a Delhi family.",['Leena Yadav'],/cao9YvzYZoP6ms5OZGS4xsq0y00.jpg
4785,The Billion Dollar Code,Drama,4,11.202,8.057,106,"In 1990s Berlin, an artist and a hacker invented a new way to see the world. Years later, they reunite to sue Google for patent infringement on it.","['Robert Thalheim', 'Oliver Ziegenbalg']",/9EQLnJp0aBuuBdudJ67osS7Bicq.jpg
4786,Moonshine,"Comedy, Drama",16,4.917,5.9,20,"The Finley-Cullens are a dysfunctional family of adult half-siblings battling to take control over the family business - a ramshackle summer resort on the South Shore of Nova Scotia, one septic tank away from bankruptcy and with a dark family secret at its core.",['Sheri Elwood'],/5P9PC64xLf0azPs5AFifvI8kDAt.jpg
4787,Among the Stars,Documentary,6,5.853,6.4,5,"A six-part docuseries with fly on the wall access into the wider world of NASA, with cameras on Earth and in space. NASA astronaut Captain Chris Cassidy is on a quest to get back in his spacesuit for one last mission. This series follows Chris and the wider team who take on missions that risk life, limb and reputation for the greater good of humankind. Join them as their missions unfold.",,/l8EoArDMQdCi18e9quLqTrTILnu.jpg
4788,Karma’s World,"Animation, Comedy, Family, Kids",40,12.38,7.106,85,"Talented singer and high school student Karma juggles rap dreams and rhyme schemes, using her talent, ambition and big heart to solve all kinds of problems.",,/xWoTBTcWicfHnB7hRq1EDKdV1Mw.jpg
4789,Harry Potter: Hogwarts Tournament of Houses,"Reality, Family",4,33.732,7.377,272,Wizarding World fans put their Harry Potter knowledge to the test for the ultimate honor to be named House Cup champion.,,/tEHHfzqHnfNJUp4L30wQeYl2xRo.jpg
4790,Ten Year Old Tom,"Animation, Comedy",20,7.254,6.7,7,The misadventures of an average kid as he contends with questionable guidance from the well-meaning grownups around him.,['Steve Dildarian'],/ikbosZcnMCpgArwJGmwu09Q8ES7.jpg
4791,Back to the Rafters,"Comedy, Drama, Family",6,3.972,6.7,6,"Back to the Rafters picks up six years since we last saw the Rafter family. Dave and Julie have created a new life in the country with youngest daughter Ruby, while the older Rafter children face new challenges and Grandpa Ted struggles to find his place. As Dave enjoys his new-found freedom, Julie must reconcile her responsibilities to the family.",['Bevan Lee'],/ohRxTCN0GBZKrp694vZxTr76UJl.jpg
4792,Ridley Road,Drama,4,4.21,6.9,14,"During London's swinging sixties, young Jewish Vivien Epstein follows her lover into danger and when he is caught between life and death, she finds herself going undercover with the fascists, not only for him but for the sake of her country.",['Sarah Solemani'],/6fUvGknVpFpTEC5byjTEae6u3gm.jpg
4793,True Story,"Drama, Crime",7,15.852,7.153,72,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.,['Eric Newman'],/7zMbzJijHQv5oOtkb8rdYarn9X6.jpg
4794,WWE Evil,"Documentary, Drama",8,3.746,7.4,19,A “psychological exposé” into the minds of the most diabolical antagonists in WWE history and their impact on mainstream culture.,['John Cena'],/k2gWOqIpLMP6v0n9RMXbS1IFmC1.jpg
4795,Olaf Presents,"Animation, Family, Comedy",5,10.503,7.168,268,Frozen’s beloved snowman retelling several classic Disney tales as only he can.,['Jennifer Newfield'],/mrS4Yp7VLgsKZONOd1aiR1S5iQD.jpg
4796,Adventure Beast,"Comedy, Animation",12,4.037,6.6,26,"A brave zoologist, his spunky niece and anxious assistant explore the world while saving wild beasts in this adult animated educational-comedy series.","['Mark Gravas', 'Bradley Trevor Greive']",/drRzj5fCk5ndIhQmS2dH0R4OLKG.jpg
4797,The Sex Lives of College Girls,"Comedy, Drama",20,26.572,7.559,222,"Follow four college roommates as they arrive at New England’s prestigious Essex College. A bundle of contradictions and hormones, these girls are equal parts lovable and infuriating as they live out their new, free lives on campus.","['Mindy Kaling', 'Justin Noble']",/qaGYIoe3CQkTqWI1SWzFZhSPHsb.jpg
4798,"Sex, Love & Goop","Reality, Talk",6,8.721,6.797,74,Courageous couples journey toward more pleasurable sex and deeper intimacy with help from Gwyneth Paltrow and a team of experts in this reality series.,,/rYDiYyEeP1zRIa2tBqIF1VVIkFy.jpg
4799,Jailbirds New Orleans,"Documentary, Reality",3,2.527,6.1,5,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,/pA7urHEBVDSJR7Cn7bANRbhwly7.jpg
4800,FC Bayern – Behind the Legend,Documentary,6,1.976,7.7,10,"The club from their victory in the 2020 Champions League final to the end of the 2020/21 season, as well as delving into the history of the team.",,/aVAt6zwJgnb6dOO5SOCCyHV9tP0.jpg
4801,Wolf Pack,"Sci-Fi & Fantasy, Drama",8,62.407,8.229,109,"When a raging wildfire releases a supernatural creature, four young adults find themselves drawn together under a full moon.",['Jeff Davis'],/rbCANmS1ogweUkIBghP03EHtdHB.jpg
4802,That Girl Lay Lay,Comedy,26,5.565,6.778,9,"That Girl Lay Lay follows Lay Lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. Struggling to make her mark at school and needing a best friend to talk to, Sadie wishes upon a star that Lay Lay was real and could help teach her how to stand out. When her wish comes true and Lay Lay is magically brought to life, the two friends learn that when they are together, they can accomplish anything, and navigate life as teenagers and discover who they truly are.",['David A. Arnold'],/zqHF8bo8YjqMKZoHqXCAZRDiwoS.jpg
4803,Wild Crime,"Documentary, Crime",8,5.539,6.2,12,"Eighty-five million acres make up the National Park System, and only 33 special agents nationwide are responsible for investigating crimes that occur on this public land. This documentary series follows the uniquely qualified team that leads the investigations as they seek to bring law and order to some of America’s most rugged and remote landscapes, tackling a new case each season.",,/wNtr8sOVDlK1gcXfnJknjjvOzQU.jpg
4804,The Girl in the Woods,"Mystery, Sci-Fi & Fantasy",8,4.471,6.056,18,Carrie is a mysterious warrior who escaped from a cult-like colony that guards the world from monsters hidden behind a secret door in the woods.,,/sPWL324evebfthe8noIBaJkP6Vp.jpg
4805,The Curse of Von Dutch: A Brand to Die For,Documentary,3,1.827,5.714,7,"The series chronicles the unbelievable true story behind the rise and fall of the 2000s most iconic fashion trend. In this epic character-driven saga, Venice Beach surfers, gangsters, European garmentos and Hollywood movers and shakers all vie for control of the infamous brand.",['Jeremiah Murphy'],/cIuleHGslnNMABGbHaKNp5Z3ae4.jpg
4806,Star Wars Galaxy of Sounds,"Sci-Fi & Fantasy, Animation",7,3.182,6.0,14,"The series explores the ambience of a galaxy far, far away through themes such as wonder, excitement, oddities, and more. Be immersed in the hum of Coruscant at golden hour, listen to the light side of the Force as Rey connects to past Jedi, and observe booming lightsaber duels. Experience the nostalgic sounds of Star Wars from across the franchise.",,/u6P36HJExo1lNoiU8p4MwPn9Y2R.jpg
4807,Red Election,"Crime, Drama",10,4.826,7.0,5,"Danish secret service agent Katrine Poulson and British spy Beatrice Ogilvy are thrown together in a race against time. As a terrorist plot against the British PM unfolds, Poulson and Ogilvy are tangled up in a web of lies, murder and power struggles; they can't trust anyone, and they soon realise the deadly conspiracy could be part of a far-reaching geopolitical masterplan.",,/mvmlsAfnk22XSJTDkwBoPtUobWt.jpg
4808,All or Nothing: Toronto Maple Leafs,Documentary,5,2.834,7.1,7,"The first of the All or Nothing franchise to follow an NHL team, the docu-series brings fans closer to the Toronto Maple Leafs organization than ever before, with cameras capturing every moment during the 104th NHL regular season and playoffs.",,/nHTZ24v1DeaBs4CUSHl8HWi4fKm.jpg
4809,The Mating Game,Documentary,5,2.037,7.5,6,"In a characteristically cinematic documentary series shot on both land and sea, Sir David Attenborough narrates the struggles and successes of a wide variety of animals as they take on one of life's most vital challenges: finding a partner. From termites to humpback whales, each creature's particular quirks and rituals are explored with joyful fascination as they navigate the dramatic - and sometimes dangerous - path of love, ensuring the survival of their species by relying on their animal instincts. With the production team having recorded over 4000 hours of fights, rebuffed advances and incredible displays aimed to impress, the veteran natural historian once again shows the animal kingdom as it has never quite been seen before.",,/5gWrmRXHD2duGcp9uvpwLaDSoJA.jpg
4810,2 Good 2 Be True,"Comedy, Drama",130,7.871,7.694,258,"Car mechanic Eloy makes a terrible first impression on Ali, who works for a real estate magnate. But both of them are hiding their true personas.",,/2Wf5ySCPcnp8lRhbSD7jt0YLz5A.jpg
4811,Christmas Flow,Comedy,3,4.403,6.5,41,An unlikely Christmas romance blossoms between a famous rapper and a tenacious journalist. But can they make it work despite their differences?,"['Victor Rodenbach', 'Henri Debeurme', 'Marianne Levy']",/n35vysDI3z4wsHSpElErNXKsAMX.jpg
4812,The Patient,"Drama, Crime",10,21.649,7.337,129,A psychotherapist finds himself held prisoner by a serial killer with an unusual request: curb his homicidal urges.,"['Joel Fields', 'Joseph Weisberg']",/fB1848j0pvNnYilXB0ho5OCfiIz.jpg
4813,The Legend of Vox Machina,"Animation, Sci-Fi & Fantasy",24,45.888,8.175,288,"They're rowdy, they're ragtag, they're misfits turned mercenaries for hire. Vox Machina is more interested in easy money and cheap ale than actually protecting the realm. But when the kingdom is threatened by evil, this boisterous crew realizes that they are the only ones capable of restoring justice.",['Matthew Mercer'],/4fqfhmVNOHe2nLcligiVMtMnfeM.jpg
4814,That '90s Show,Comedy,10,36.504,6.847,85,"Hello, Wisconsin! It's 1995 and Leia Forman, daughter of Eric and Donna, is visiting her grandparents for the summer where she bonds with a new generation of Point Place kids under the watchful eye of Kitty and the stern glare of Red. Sex, drugs and rock 'n roll never dies, it just changes clothes.","['Bonnie Turner', 'Terry Turner', 'Gregg Mettler', 'Lindsay Turner']",/nZcufEuqZqNYMx6mNjlh2rmjDqx.jpg
4815,The Outlaws,"Comedy, Crime, Drama",12,8.06,7.836,55,"Seven strangers from different walks of life - people who would never normally interact - are forced to work together to renovate a derelict community centre. They resent the menial physical labour and they resent each other. But when one of their number gets dragged into a dangerous world of organised crime, they unite in ways none of them thought possible.","['Stephen Merchant', 'Elgin James']",/yKV8ZlWiafzW64aVbfvgZWQWhs0.jpg
4816,Blown Away: Christmas,Reality,4,2.285,6.0,6,'Tis the season for five returning artists to fill the hot shop with festive designs. One will win cash for the stocking — a merry Christmas indeed!,,/fNrKfD2igYvN4nlW0yNACKqToHL.jpg
4817,The Real Housewives Ultimate Girls Trip,Reality,21,4.027,8.1,8,Bravo universes collide as iconic Housewives from different cities come together for the ultimate girls' trip to beautiful Turks and Caicos.,,/q0DBPNzxpc6u3aTfTcMxxwYbPtw.jpg
4818,The Larkins,"Comedy, Drama",12,4.473,6.1,7,"Set in the late 1950’s, The Larkins follows the golden-hearted wheeler dealer Pop Larkin and his wife Ma, together with their six children, including the beautiful Mariette, as they bask in their idyllic and beautiful patch of paradise in Kent.",,/iiGbAeGUVizwCV1O2tVajRNOk0H.jpg
4819,Tales of the Walking Dead,"Drama, Action & Adventure, Sci-Fi & Fantasy",6,53.414,7.42,75,"Six original one-hour standalone episodes focused on both new and established characters within the walker apocalypse. Each episode has its own distinct tone and point of view — but the stakes are high in each story, pushing new, indelible characters with relentless, life-threatening choices and situations. We get to see the apocalypse through different eyes, discovering more worlds, mythos, and mysteries of the Walking Dead.","['Scott M. Gimple', 'Channing Powell']",/zRMUHvTgQ79zteQafNI46Nd9XFm.jpg
4820,The Madame Blanc Mysteries,Drama,13,2.615,7.2,10,"Jean White is an antiques dealer who runs a successful business with her husband, Rory. But when he suddenly dies and leaves her nearly penniless, Jean relocates to their one remaining asset - a cottage in French antiques hub Saint Victoire - and begins investigating Rory's mysterious death.",['Sally Lindsay'],/kEb8zqZuO1Og9DG2lzg3ldi6nXt.jpg
4821,Harriet the Spy,"Animation, Kids",20,28.078,7.1,7,"Outspoken and perpetually curious. That’s 11-year-old Harriet in a nutshell. But if she’s going to be Harriet M. Welsch, future writer, she’ll need to know everything. And to know everything means she’ll need to spy…on everyone.",,/wlH2YAt8JxOoKgkF3HlDGt9d734.jpg
4822,Stay Close,"Drama, Crime, Mystery",8,8.982,6.974,155,"When Carlton Flynn vanishes 17 years to the night after Stewart Green did, it sets off a chain reaction in the lives of people connected to both men.",['Harlan Coben'],/dOxXkneHeiAVbdpkEbajgiwobO9.jpg
4823,The Bear,Drama,8,36.271,8.201,339,"Carmen “Carmy” Berzatto, a young chef from the fine dining world, comes home to Chicago to run his family sandwich shop after a heartbreaking death. As Carmy fights to transform the restaurant and himself, his rough-around-the-edges kitchen crew ultimately reveal themselves as his chosen family.",['Christopher Storer'],/i6sJI3O1874FBdDtM0jn6fpPE0x.jpg
4824,Dragons: The Nine Realms,"Animation, Action & Adventure",32,32.015,7.7,233,"Set 1,300 years after the events of How to Train Your Dragon, dragons are now just a legend to the modern world. When a geological anomaly opens an immense, miles-deep fissure in the Earth’s surface, scientists from all over the world gather at a new research facility to study the mysterious phenomenon. Soon a group of misfit kids, brought to the site by their parents, uncover the truth about dragons and where they’ve been hiding -- a secret they must keep to themselves to protect what they’ve discovered.",['Henry Gilroy'],/wXG7h2uH93nJ8QvGhtk8F3XEtlu.jpg
4825,The Long Call,"Crime, Drama",4,3.316,7.2,11,"Detective Matthew Venn returns to the small North Devon community he grew up in with his husband and begins investigating a murder whilst coming to terms with his own traumatic past, having been excommunicated by his family and the church community they lived in.",['Kelly Jones'],/aq7akjOvNnQOX0Wtdq28vxlmPJ4.jpg
4826,Richard Hammond's Workshop,"Documentary, Reality",16,5.298,7.1,8,"Richard Hammond trades his jet-setting lifestyle for a long-standing dream to set up a classic car restoration workshop close to his home in Herefordshire. With the help of skilled craftsmen, he navigates the ups and downs of building a new business.",,/pArxM1WhhPECMk9ITZdt5AvE4DK.jpg
4827,Celebrity Hunted - France - Manhunt,"Action & Adventure, Reality",12,3.4,5.7,6,"Franck Gastambide and Ramzy, Squeezie and Seb la Frite, Dadju and his brother Darcy, and Laure and Florent Manaudou all become fugitives for 10 days. Starting from the Trocadéro, they must pull out all the stops to disappear as a team of experts is trying to track them down. At the end, the fugitives still on the run will have to reach a helicopter waiting for them at the exfiltration point.",,/r09dZ2UD9Ky5KNqTO28IkZR7cQ0.jpg
4828,Dogs in Space,"Comedy, Animation, Action & Adventure, Family, Sci-Fi & Fantasy",20,13.319,7.4,44,"In the not-so-distant future, genetically enhanced dogs are sent across the universe in search of a new home for the human race. It’s a giant cosmic game of fetch, as the canines seek a planet that will save humanity and - more importantly - let them return to their beloved owners.",['Jeremiah Cortez'],/vjylqp5Le8ZalQ9kAS4f58FgmWF.jpg
4829,Universe,Documentary,5,6.244,7.8,12,Professor Brian Cox journeys across the vastness of time and space revealing epic moments of sheer drama that changed the universe forever.,"['Brian Cox', 'Ashley Gething']",/wnJJY7yPFeUvi3PytWFvcbrK6is.jpg
4830,Catching Killers,"Documentary, Crime",8,6.245,6.1,22,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.",['Simon Dekker'],/628U5ybT3fV0gGbT41Lk3R15Ya0.jpg
4831,The Library,,1,0.6,8.6,5,"Mr. Bean visits a rare book library (possibly the British Library), where he reads a rare tome that must be handled with gloves. Soon after he uses a pencil and a crayon to copy a page of the book by shading on a piece of tracing paper, he sneezes, and the tracing paper slips away. He doesn't notice this, and continues to use a crayon for shading, but on the book instead of the tracing paper. When he notices this, he attempts to remove the crayon marks - first by erasing, and then by using correction fluid, but eventually ends up tearing out the pages he has defiled. To neaten up the stubs of the pages he has torn out, he uses a boxcutter knife, but doesn't notice that while doing so, he cuts other pages.",,
4832,The Freak Brothers,"Animation, Comedy",8,2.57,5.778,9,"The escapades of a trio of stoner anti-establishment characters and their cat who wake up from a 50-year nap after smoking a magical strain of weed in 1969, and must adjust to life with a new family in present-day San Francisco.",['Gilbert Shelton'],/j0KFoZZcebZIGnodqtcbcRKiw6r.jpg
4833,IDOL: The Coup,Drama,12,3.309,9.2,5,Portrays the last story of “doomed idols” who need a single “success” in order to “disband.” The story of young people who confidently let go of their dreams as they grow through their failures and take courageous steps towards their new goals.,['Jung Yoon-jung'],/r7wfG1EjFVl57xM9MgqcRxBzuYN.jpg
4834,BIRDIE WING -Golf Girls' Story-,"Animation, Comedy, Drama",25,70.135,6.4,5,"Fore! After Eve’s first meet-up with Aoi on the grass left her in defeat, she’s had her eyes set on a rematch to return the favor. Both these up-and-coming golfers are highly skilled, highly unique and most of all, highly competitive. With dreams of making it pro, a rivalry is getting in full swing as they both battle it out in the biggest tournaments.",,/lQzXueKaedZ5fs68MLq6cKZ76BD.jpg
4835,Stories of a Generation - with Pope Francis,Documentary,4,3.786,7.0,12,"Stories Of A Generation narrates the values of life: from love to pain, from work to dreams. 18 generational stories are enriched with the participation of Pope Francis and Martin Scorsese.",,/qtOOSDlTAcfGIDbLwHHoV0QtQqI.jpg
4836,Elite Short Stories: Phillipe Caye Felipe,"Mystery, Comedy",3,13.889,6.761,111,"Away from school, during the winter holidays, three new stories take place while the Las Encinas students celebrate Christmas.",,/2i8blnrndrDFfo4T9LdbxseRp3d.jpg
4837,School of Chocolate,Reality,8,3.204,7.0,14,Eight professionals study the art of chocolate under the guidance of a well-known chocolatier. But only one can be the best in class and win a unique opportunity.,,/mJe4JUiH3qz40eXT6wQ1zd6dA3O.jpg
4838,911 Crisis Center,"Reality, Crime, Documentary",38,4.907,8.6,7,An up-close and personal look at a team of 911 dispatchers at a call center just outside of Cleveland where they take on a never-ending bombardment of panic-stricken callers and save lives.,,/hTHXuVjnP1DdhUYaMEASpCzIM4D.jpg
4839,Elite Short Stories: Patrick,"Mystery, Comedy",3,14.992,6.89,86,"Away from school, during the winter holidays, three new stories take place while the Las Encinas students celebrate Christmas.",,/621xOYHKFLEekd7xRqJUBJjVSRz.jpg
4840,Showtrial,Drama,5,2.483,7.3,11,"The arrogant daughter of a wealthy entrepreneur is put on trial following the disappearance of a fellow student, a hard-working daughter of a single mother.",['Ben Richards'],/ozOAA6NPpNHgqWfKo3RVweO8Ic5.jpg
4841,The Reluctant Traveler with Eugene Levy,Documentary,8,6.173,7.1,9,Award-winning actor and nervous explorer Eugene Levy steps out of his comfort zone for a whirlwind tour of the world’s most beautiful and intriguing destinations.,,/zgXtwJtkzIpuXLfDOQaTMU9ZFaS.jpg
4842,The Center Seat: 55 Years of Star Trek,Documentary,11,4.643,6.667,6,"In honor of the sci-fi franchise’s 55th anniversary this year and produced by The Nacelle Company, the project will feature interviews with cast, crew and experts as it explores pivotal moments in the franchise’s history, from its inception at Lucille Ball’s production company Desilu to recent film and television adaptations.",['Brian Volk-Weiss'],/sYlsE2W1g244E3O1RLJuSiFOMDL.jpg
4843,After the Verdict,"Crime, Drama",6,3.772,7.4,5,"As they return to normal life, four very different Australians who have just finished jury duty on a high-profile murder trial begin to question their verdict and take matters into their own hands, investigating the murder themselves as they juggle the pressures and impacts on their personal lives.","['Ellie Beaumont', 'Drew Proffitt']",/eb1RD2AKCCAeoo2ckoF8U92oqva.jpg
4844,All or nothing: Juventus,Documentary,8,4.606,6.5,26,"Burning defeats and victorious triumphs, All or Nothing follows Juventus, one of the world’s greatest clubs, through a memorable season of change. Unprecedented and exclusive access to Ronaldo and to some of the greatest names of world football, dramatic moments behind the scenes, an unmissable series about a championship that will keep you on your toes until the very last day.",,/623WQnO0JDULYt64tg5Px1omoEW.jpg
4845,The Tower,Drama,3,6.416,7.452,31,"A veteran beat cop and teenage girl fall to their deaths from a tower block in south-east London, leaving a five-year-old boy and rookie police officer Lizzie Griffiths on the roof, only for them to go missing. Detective Sergeant Sarah Collins is drafted in to investigate, working to find Lizzie before she comes to serious harm, but also to uncover the truth behind the grisly tower block deaths.",,/gMFxFR19eAlDLvaTyD9a4zNALaF.jpg
4846,Un Professore,"Drama, Comedy, Family",12,6.663,7.4,17,,"[""Alessandro D'Alatri""]",/havT3VkAzv3G5MDP1FzFTJ3WnX2.jpg
4847,Special Ops 1.5: The Himmat Story,"Action & Adventure, Crime, Drama",4,2.447,7.0,6,"After the 2001 Parliament attack, a young and idealistic RA&W officer had a theory. In 2003, he had a mystery. This is the story of Himmat Singh",,/pViCHSdhElKfnq9WPfiStZxfO2s.jpg
4848,Decoupled,"Drama, Comedy",8,2.997,6.4,11,A misanthropic writer and his startup-founder wife juggle their impending divorce with the absurdities and annoyance of life in their affluent world.,['Manu Joseph'],/pq3t5ds8JwHSAvXE3o42CeQ3ue.jpg
4849,Fatal Attraction,Drama,8,100.74,7.7,10,"An affair threatens the lives of Dan Gallagher and his wife, Beth,  in this deep-dive reimagining of the classic psychosexual thriller which explores fatal attraction and the timeless themes of marriage and infidelity through the lens of modern attitudes toward strong women, personality disorders and coercive control.",['Alexandra Cunningham'],/gXxY9JQOXFBmedggz2fu5YKjIm.jpg
4850,Saturday Morning All Star Hits!,"Comedy, Animation",8,3.777,5.8,11,"Wildly irreverent and slightly disturbing, this adult animation, live-action hybrid celebrates the campy, Saturday-morning shows of the '80s and '90s.","['Kyle Mooney', 'Ben Jones']",/vHB2sMGWVjknajaKYhRPutJyQDd.jpg
4851,A Spy Among Friends,"War & Politics, Drama",6,10.653,7.1,22,"Follow the defection of notorious British intelligence officer and KGB double agent, Kim Philby, through the lens of his complex relationship with MI6 colleague and close friend, Nicholas Elliott.","['Alexander Cary', 'Ben Macintyre']",/jWB27W5tuNiRBJbVIbxI68q0buP.jpg
4852,Fighting Spirit: Rising,,25,0.6,7.4,5,"Ippo the Japanese Featherweight champion will defend his title against amazing challengers. Takamura fights for the second WBC title in the middleweight class, and Aoki fights for the Lightweight title.",,
